"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2018","7,370.67","7,372.42","7,372.47","7,369.04","","1.38%"
"07/12/2018","7,270.60","7,261.27","7,270.60","7,261.27","","0.46%"
"07/11/2018","7,237.57","7,252.81","7,253.33","7,233.08","","-0.64%"
"07/10/2018","7,284.01","7,282.51","7,284.01","7,278.85","","0.53%"
"07/09/2018","7,245.36","7,238.49","7,245.36","7,238.12","","1.87%"
"07/06/2018","7,112.68","7,093.61","7,116.45","7,093.61","","0.88%"
"07/05/2018","7,050.96","7,048.44","7,053.05","7,048.44","","-0.89%"
"07/03/2018","7,113.93","7,115.80","7,116.82","7,107.86","","1.73%"
"07/02/2018","6,993.06","7,017.17","7,017.21","6,993.06","","-1.04%"
"06/29/2018","7,066.28","7,067.49","7,067.52","7,061.66","","1.54%"
"06/28/2018","6,959.42","6,972.57","6,972.62","6,952.69","","-1.87%"
"06/27/2018","7,091.86","7,086.38","7,095.76","7,080.28","","0.43%"
"06/26/2018","7,061.69","7,055.68","7,065.86","7,055.68","","-1.22%"
"06/25/2018","7,149.07","7,151.76","7,157.96","7,147.11","","-1.19%"
"06/22/2018","7,235.22","7,227.00","7,237.32","7,227.00","","-1.02%"
"06/21/2018","7,309.51","7,298.04","7,309.51","7,284.20","","0.63%"
"06/20/2018","7,263.75","7,252.65","7,266.45","7,252.65","","1.30%"
"06/19/2018","7,170.22","7,188.68","7,188.68","7,170.22","","-0.68%"
"06/18/2018","7,219.63","7,225.23","7,228.67","7,219.63","","-0.67%"
"06/15/2018","7,268.58","7,268.22","7,271.34","7,245.30","","0.52%"
"06/14/2018","7,230.63","7,215.49","7,230.63","7,215.49","","0.10%"
"06/13/2018","7,223.26","7,216.56","7,224.08","7,215.34","","0.56%"
"06/12/2018","7,182.81","7,173.00","7,184.60","7,172.77","","0.47%"
"06/11/2018","7,149.26","7,148.37","7,152.95","7,147.66","","0.34%"
"06/08/2018","7,125.03","7,113.10","7,125.03","7,113.10","","-1.23%"
"06/07/2018","7,213.82","7,211.57","7,215.26","7,211.17","","0.52%"
"06/06/2018","7,176.56","7,181.20","7,182.44","7,174.23","","0.22%"
"06/05/2018","7,160.90","7,159.01","7,160.90","7,153.39","","0.83%"
"06/04/2018","7,101.94","7,094.00","7,106.12","7,094.00","","1.49%"
"06/01/2018","6,997.51","6,986.96","6,997.99","6,984.76","","0.37%"
"05/31/2018","6,971.86","6,977.69","6,980.51","6,971.86","","0.34%"
"05/30/2018","6,948.04","6,942.99","6,948.04","6,941.41","","0.24%"
"05/29/2018","6,931.34","6,933.26","6,940.52","6,931.34","","-0.25%"
"05/25/2018","6,948.53","6,949.72","6,949.72","6,942.62","","-0.05%"
"05/24/2018","6,951.95","6,954.28","6,955.46","6,947.04","","1.46%"
"05/23/2018","6,851.80","6,856.20","6,859.09","6,849.05","","-1.09%"
"05/22/2018","6,927.39","6,922.16","6,927.39","6,922.02","","0.22%"
"05/21/2018","6,912.28","6,902.59","6,913.99","6,901.71","","0.44%"
"05/18/2018","6,881.90","6,890.05","6,893.04","6,875.28","","-0.37%"
"05/17/2018","6,907.12","6,914.24","6,914.30","6,906.33","","0.27%"
"05/16/2018","6,888.22","6,884.56","6,888.22","6,880.28","","-0.51%"
"05/15/2018","6,923.28","6,950.23","6,951.67","6,921.62","","-0.75%"
"05/14/2018","6,975.56","6,970.79","6,976.01","6,969.49","","0.42%"
"05/11/2018","6,946.47","6,954.45","6,954.74","6,946.47","","0.64%"
"05/10/2018","6,902.14","6,892.27","6,903.30","6,891.46","","1.08%"
"05/09/2018","6,828.57","6,828.08","6,829.44","6,827.08","","0.19%"
"05/08/2018","6,815.38","6,811.15","6,817.50","6,809.90","","0.34%"
"05/07/2018","6,792.13","6,796.80","6,800.16","6,792.13","","2.53%"
"05/04/2018","6,624.81","6,647.99","6,652.04","6,624.81","","0.11%"
"05/03/2018","6,617.21","6,627.99","6,630.76","6,616.74","","-1.25%"
"05/02/2018","6,701.10","6,714.98","6,716.71","6,700.63","","1.58%"
"05/01/2018","6,596.96","6,610.97","6,614.58","6,596.96","","-1.02%"
"04/30/2018","6,664.94","6,676.17","6,679.31","6,661.38","","-1.23%"
"04/27/2018","6,748.15","6,758.91","6,775.22","6,748.15","","2.28%"
